participant2,recording,chunk,block,part,length,confidence,happy,sooth,love,exaggerate,nat_inf_label2,duration2
TSMA12,2625,chunk15,FA1,10006988-10007435,0.447,0,1,1,0,0,T,14
TSMA12,2625,chunk15,FA1,10009239-10010020,0.781,4,0,0,0,0,T,14
TSMA12,2625,chunk15,FA1,10016585-10017025,0.44,4,0,0,0,0,T,11
TSMA12,2625,chunk15,FA1,10033418-10034212,0.794,4,0,0,0,0,T,12
TSMA12,643,chunk15,FA1,11395987-11397225,1.238,4,0,0,0,0,C,15
TSMA12,643,chunk15,FA1,11402131-11403831,1.7,4,0,0,0,0,C,7
TSMA12,2625,chunk15,FA1,9977706-9978000,0.294,4,1,0,0,1,T,9
TSMA12,2625,chunk15,FA1,9996590-9997840,1.25,4,0,0,0,0,T,9
TSMA12,643,chunk16,FA1,11450262-11451442,1.18,3,1,0,0,1,T,7
TSMA12,643,chunk16,FA1,11460013-11460782,0.769,4,1,1,0,0,T,9
TSMA12,2625,chunk17,FA1,12359701-12360702,1.001,4,0,0,0,0,C,13
TSMA12,643,chunk17,FA2,14258333-14259264,0.931,2,0,0,0,1,C,9
TSMA12,2625,chunk18,FA1,12394154-12394895,0.741,1,0,0,0,0,C,11
TSMA12,643,chunk19,FA2,14331953-14335836,3.883,2,0,0,0,0,C,11
TSMA12,643,chunk2,FA1,2016491-2017690,1.199,4,0,1,0,0,C,10
TSMA12,2625,chunk2,FA1,2732315-2733314,0.999,0,1,0,0,1,T,62
TSMA12,643,chunk23,FA1,16625000-16625952,0.952,4,0,1,0,0,C,10
TSMA12,643,chunk23,FA1,16627528-16629715,2.187,4,0,0,0,0,C,12
TSMA12,643,chunk23,FA1,16631309-16634177,2.868,3,0,0,0,0,C,10
TSMA12,643,chunk23,FA1,16635372-16635975,0.603,4,0,0,0,0,C,8
TSMA12,643,chunk23,FA1,16647405-16648714,1.309,4,0,0,0,0,C,6
TSMA12,7220,chunk23,FA2,6314238-6315155,0.917,2,1,0,0,1,A,7
TSMA12,7220,chunk24,FA1,6382150-6384698,2.548,2,0,0,0,0,A,12
TSMA12,2625,chunk27,FA1,16659273-16660534,1.261,2,1,0,0,0,T,17
TSMA12,7220,chunk28,FA3,10140781-10142982,2.201,2,1,0,0,0,A,7
TSMA12,2625,chunk28,FA1,16704842-16705456,0.614,1,1,0,0,1,T,15
TSMA12,7220,chunk30,FA2,10259792-10260960,1.168,4,3,0,1,3,A,10
TSMA12,643,chunk30,FA1,20518422-20520287,1.865,4,0,0,0,0,C,8
TSMA12,7220,chunk31,FA3,10331446-10332114,0.668,3,1,0,0,1,A,6
TSMA12,7220,chunk31,FA3,10333771-10334051,0.28,3,1,0,0,1,A,8
TSMA12,643,chunk32,FA1,20648000-20648686,0.686,3,1,0,0,1,C,8
TSMA12,7220,chunk33,FA1,15227970-15228840,0.87,3,0,0,0,0,T,6
TSMA12,7220,chunk33,FA1,15234570-15235390,0.82,2,1,0,0,0,T,6
TSMA12,2625,chunk34,FA1,27374608-27374951,0.343,2,1,0,0,2,C,19
TSMA12,643,chunk36,FA2,21448917-21449845,0.928,2,2,0,0,1,A,9
TSMA12,7220,chunk37,FA1,15668705-15669471,0.766,3,1,0,0,0,A,6
TSMA12,7220,chunk38,FA1,15710148-15711393,1.245,1,0,0,0,0,C,7
TSMA12,643,chunk38,FA2,26161988-26162780,0.792,2,1,0,0,1,A,6
TSMA12,643,chunk38,FA2,26166056-26166616,0.56,2,0,0,0,0,A,7
TSMA12,643,chunk38,FA2,26183162-26183628,0.466,1,0,0,0,0,A,9
