participant,ID,recording,chunk,block,part,length,rater_label,confidence,nat_inf_label,duration
TSMD12,12,7326,chunk26,FA1,18424348-18425015,0.667,ads,1,T,4
TSMD12,12,7326,chunk28,FA1,18525254-18527720,2.466,cds,4,T,6
TSMD12,12,7326,chunk28,FA1,18534227-18534876,0.649,cds,2,T,3
TSMD12,12,7326,chunk29,FA1,18576890-18577683,0.793,ads,2,T,3
TSMD12,12,7326,chunk29,FA1,18578870-18580584,1.714,ads,2,T,3
TSMD12,12,7326,chunk29,FA1,18601468-18602461,0.993,ads,2,C,3
TSMD12,12,7326,chunk29,FA1,18603256-18604790,1.534,ads,1,C,3
TSMD12,12,7326,chunk32,FA1,27157897-27158433,0.536,cds,1,T,2
TSMD12,12,7326,chunk34,FA1,27398758-27399208,0.45,ads,1,T,6
TSMD12,12,7326,chunk34,FA1,27400012-27400851,0.839,cds,1,T,5
TSMD12,12,7326,chunk42,FA1,28064949-28065690,0.741,cds,1,T,2
TSMD12,12,7326,chunk44,FA1,28471290-28472340,1.05,ads,1,T,3
TSMD12,12,7326,chunk6,FA1,4402455-4403095,0.64,cds,1,T,5
TSMD12,12,7326,chunk8,FA1,6565776-6566730,0.954,cds,2,T,4
TSMD12,12,7326,chunk8,FA2,6566153-6566884,0.731,ads,1,A,5
TSMD12,12,7326,chunk9,FA1,6927496-6928764,1.268,ads,2,T,12
TSMD12,12,7326,chunk9,FA1,6935357-6936418,1.061,ads,2,T,4
TSMD12,12,7326,chunk9,FA1,6940080-6941386,1.306,ads,2,T,4
TSMD12,12,8179,chunk16,FA2,13865540-13865908,0.368,ads,3,A,8
TSMD12,12,8179,chunk21,FA2,16292865-16295496,2.631,ads,3,A,5
TSMD12,12,8179,chunk21,FA3,16296446-16297291,0.845,cds,1,A,6
TSMD12,12,8179,chunk48,FA1,30255737-30256840,1.103,ads,2,C,8
TSMD12,12,8179,chunk7,FA1,2410119-2410990,0.871,cds,3,A,4
TSMD13,13,643,chunk1,FA1,1970580-1971675,1.095,cds,2,C,52
TSMD13,13,643,chunk11,FA1,11130100-11130710,0.61,cds,1,T,11
TSMD13,13,643,chunk11,FA1,11135799-11136280,0.481,cds,1,T,6
TSMD13,13,643,chunk13,FA1,11276259-11276870,0.611,cds,2,T,12
TSMD13,13,643,chunk13,FA1,11278211-11279081,0.87,cds,1,T,4
TSMD13,13,643,chunk13,FA1,11280553-11281555,1.002,ads,2,T,4
TSMD13,13,643,chunk13,FA1,11283035-11283520,0.485,ads,2,T,5
TSMD13,13,643,chunk13,FA1,11288834-11290778,1.944,cds,3,T,6
TSMD13,13,643,chunk13,FA1,11291655-11293667,2.012,cds,2,T,7
TSMD13,13,643,chunk15,FA1,11395987-11397225,1.238,ads,2,C,8
TSMD13,13,643,chunk15,FA1,11402131-11403831,1.7,ads,2,C,6
TSMD13,13,643,chunk16,FA1,11450262-11451442,1.18,ads,2,T,6
TSMD13,13,643,chunk16,FA1,11460013-11460782,0.769,ads,2,T,5
TSMD13,13,643,chunk17,FA2,14258333-14259264,0.931,cds,2,C,7
TSMD13,13,643,chunk19,FA2,14331953-14335836,3.883,ads,2,C,8
TSMD13,13,643,chunk2,FA1,2016491-2017690,1.199,ads,2,C,12
TSMD13,13,643,chunk2,FA1,2059578-2060477,0.899,ads,2,C,18
TSMD13,13,643,chunk23,FA1,16625000-16625952,0.952,ads,2,C,6
TSMD13,13,643,chunk23,FA1,16627528-16629715,2.187,cds,3,C,7
TSMD13,13,643,chunk23,FA1,16631309-16634177,2.868,ads,1,C,12
TSMD13,13,643,chunk23,FA1,16635372-16635975,0.603,cds,2,C,5
TSMD13,13,643,chunk23,FA1,16647405-16648714,1.309,cds,2,C,6
TSMD13,13,643,chunk30,FA1,20518422-20520287,1.865,ads,2,C,18
TSMD13,13,643,chunk32,FA1,20648000-20648686,0.686,cds,2,C,4
TSMD13,13,643,chunk36,FA2,21448917-21449845,0.928,ads,2,A,11
TSMD13,13,643,chunk38,FA2,26161988-26162780,0.792,ads,2,A,3
TSMD13,13,643,chunk38,FA2,26166056-26166616,0.56,ads,2,A,6
TSMD13,13,643,chunk38,FA2,26183162-26183628,0.466,ads,2,A,9
