participant,group,clip,clip_length,rater_Label,confidence,background_noise,happy,angry,sad,sooth,love,exaggerated,clear,nat_inf_label,recorded_child,rating_duration,rater_labeln,nat_inf_labeln
SUB10,group_4,284700-285430,730,cds,0,-2,3,2,1,3,2,2,1,I,Vihan,25,0,0
SUB10,group_4,56925-58965,2040,ads,0,-2,3,1,1,4,4,1,2,I,Vihan,13,1,0
SUB10,group_4,101735-103115,1380,cds,0,-2,3,2,2,4,4,3,2,I,Diana,44,0,0
SUB10,group_4,51615-52195,580,cds,0,-2,2,2,2,4,2,3,2,I,Melorin,21,0,0
SUB10,group_4,168667-169426,759,cds,0,-2,3,1,0,4,4,4,2,I,Illia,13,0,0
SUB10,group_4,257024-259139,2115,cds,0,-2,3,0,0,2,3,2,2,I,Amirali,19,0,0
SUB10,group_4,131085-132985,1900,cds,0,-2,1,3,3,3,2,2,2,A,Melorin,44,0,1
SUB10,group_4,21028-23314,2286,cds,0,-2,2,0,0,4,4,3,2,I,Amirali,19,0,0
SUB10,group_4,132574-134554,1980,cds,0,-2,3,0,0,4,4,3,2,I,Ali,42,0,0
SUB10,group_4,229720-230360,640,ads,0,-2,2,2,1,2,2,1,2,A,Vihan,25,1,1
SUB10,group_4,23270-24420,1150,ads,0,-2,2,2,2,2,2,2,2,A,Vihan,14,1,1
SUB10,group_4,200995-203131,2136,cds,0,-2,1,1,2,4,4,3,2,I,Diana,30,0,0
SUB10,group_4,224910-225780,870,cds,0,-2,3,0,1,2,3,2,2,A,Ali,51,0,1
SUB10,group_4,292663-296192,3529,cds,0,-2,2,0,0,4,4,3,2,I,Amirali,21,0,0
SUB10,group_4,175969-177942,1973,cds,0,-2,4,0,0,4,4,3,2,I,Ali,14,0,0
SUB10,group_4,37415-39955,2540,cds,0,-2,3,1,1,4,4,2,2,I,Niki,20,0,0
