ID,recording,part,participant,chunk.x,block.x,length.x,rater_label,confidence.x,nat_inf_label,duration,participant2,chunk.y,block.y,length.y,confidence.y,happy,sooth,love,exaggerate,nat_inf_label2,duration2
10,643,26892220-26892602,TSMD10,chunk44,FA2,0.382,cds,2,T,3,TSMA10,chunk44,FA2,0.382,4,4,0,0,4,T,11
10,643,26914270-26914732,TSMD10,chunk44,FA1,0.462,cds,2,C,4,TSMA10,chunk44,FA1,0.462,2,0,0,0,1,C,10
10,643,28254346-28254820,TSMD10,chunk45,FA1,0.474,ads,2,C,4,TSMA10,chunk45,FA1,0.474,3,0,0,0,2,C,13
10,643,28333736-28334228,TSMD10,chunk46,FA1,0.492,cds,3,A,6,TSMA10,chunk46,FA1,0.492,3,0,0,0,1,A,11
10,643,28396592-28398016,TSMD10,chunk47,FA1,1.424,ads,3,C,6,TSMA10,chunk47,FA1,1.424,3,0,3,1,0,C,16
10,643,28399200-28400742,TSMD10,chunk47,FA1,1.542,ads,0,C,5,TSMA10,chunk47,FA1,1.542,3,0,0,0,1,C,10
10,643,28428962-28431014,TSMD10,chunk47,FA1,2.052,ads,2,A,11,TSMA10,chunk47,FA1,2.052,2,0,0,0,1,A,9
10,643,28439326-28440578,TSMD10,chunk47,FA1,1.252,ads,3,A,5,TSMA10,chunk47,FA1,1.252,0,0,0,0,0,A,12
10,643,28458098-28459792,TSMD10,chunk48,FA1,1.694,ads,3,A,4,TSMA10,chunk48,FA1,1.694,2,1,0,0,2,A,9
10,643,28543056-28544596,TSMD10,chunk49,FA1,1.54,ads,2,C,7,TSMA10,chunk49,FA1,1.54,3,0,0,0,1,C,12
10,643,2225833-2226779,TSMD10,chunk5,FA1,0.946,cds,3,C,7,TSMA10,chunk5,FA1,0.946,3,0,0,2,0,C,19
10,643,29955716-29956736,TSMD10,chunk50,FA1,1.02,ads,3,A,8,TSMA10,chunk50,FA1,1.02,3,1,3,2,0,A,10
10,643,30536680-30539238,TSMD10,chunk51,FA1,2.558,cds,3,A,6,TSMA10,chunk51,FA1,2.558,3,0,3,2,2,A,14
10,643,30552436-30554260,TSMD10,chunk51,FA1,1.824,ads,3,A,5,TSMA10,chunk51,FA1,1.824,2,1,1,1,1,A,14
