Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),cds_ads,confidence_level,Original Label,Duration,Comments
09:48:38 27Jan2020,TSMD10,0643,chunk23,FA1,16647405-16648714,1.309,ads,3,C,9,None
09:48:26 27Jan2020,TSMD10,0643,chunk23,FA1,16635372-16635975,0.603,cds,3,C,8,None
09:58:12 27Jan2020,TSMD10,0643,chunk48,FA1,28458098-28459792,1.694,ads,3,A,4,None
09:58:22 27Jan2020,TSMD10,0643,chunk49,FA1,28543056-28544596,1.54,ads,2,C,7,None
09:57:11 27Jan2020,TSMD10,0643,chunk44,FA2,26892220-26892602,0.382,cds,2,T,3,None
09:57:07 27Jan2020,TSMD10,0643,chunk44,FA2,26875950-26876216,0.266,cds,4,T,6,None
09:56:56 27Jan2020,TSMD10,0643,chunk44,FA1,26914270-26914732,0.462,cds,2,C,4,None
09:57:19 27Jan2020,TSMD10,0643,chunk45,FA1,28254346-28254820,0.474,ads,2,C,4,None
09:57:28 27Jan2020,TSMD10,0643,chunk46,FA1,28333736-28334228,0.492,cds,3,A,6,None
09:58:04 27Jan2020,TSMD10,0643,chunk47,FA1,28439326-28440578,1.252,ads,3,A,5,None
09:57:45 27Jan2020,TSMD10,0643,chunk47,FA1,28399200-28400742,1.542,ads,0,C,5,None
09:57:57 27Jan2020,TSMD10,0643,chunk47,FA1,28428962-28431014,2.052,ads,2,A,11,None
09:57:38 27Jan2020,TSMD10,0643,chunk47,FA1,28396592-28398016,1.424,ads,3,C,6,None
09:55:25 27Jan2020,TSMD10,0643,chunk40,FA2,26567156-26567672,0.516,cds,3,C,5,None
09:55:36 27Jan2020,TSMD10,0643,chunk40,FA2,26592052-26592956,0.904,ads,3,C,3,None
09:56:01 27Jan2020,TSMD10,0643,chunk40,FA2,26605792-26606719,0.927,ads,4,C,5,None
09:55:44 27Jan2020,TSMD10,0643,chunk40,FA2,26594990-26596112,1.122,ads,4,C,6,None
09:55:30 27Jan2020,TSMD10,0643,chunk40,FA2,26574169-26574780,0.611,ads,3,C,4,None
09:55:54 27Jan2020,TSMD10,0643,chunk40,FA2,26597940-26598376,0.436,cds,3,C,8,None
09:56:10 27Jan2020,TSMD10,0643,chunk41,FA2,26653844-26655408,1.564,ads,3,C,6,None
09:56:19 27Jan2020,TSMD10,0643,chunk42,FA2,26688700-26690145,1.445,cds,4,C,5,None
09:56:26 27Jan2020,TSMD10,0643,chunk42,FA2,26705730-26706392,0.662,ads,3,C,5,None
09:56:48 27Jan2020,TSMD10,0643,chunk43,FA2,26776314-26776764,0.45,cds,3,T,6,None
09:56:35 27Jan2020,TSMD10,0643,chunk43,FA2,26765672-26766716,1.044,cds,2,C,6,None
09:56:41 27Jan2020,TSMD10,0643,chunk43,FA2,26774544-26775095,0.551,cds,3,T,5,None
09:41:30 27Jan2020,TSMD10,2625,chunk2,FA1,2732315-2733314,0.999,cds,3,T,15,None
13:14:02 27Jan2020,TSMD13,7220,chunk28,FA3,10140781-10142982,2.201,ads,3,A,5,None
13:15:06 27Jan2020,TSMD13,7220,chunk38,FA1,15710148-15711393,1.245,ads,4,C,5,None
13:13:44 27Jan2020,TSMD13,7220,chunk23,FA2,6314238-6315155,0.917,ads,2,A,12,None
13:14:57 27Jan2020,TSMD13,7220,chunk37,FA1,15668705-15669471,0.766,cds,3,A,8,None
13:14:24 27Jan2020,TSMD13,7220,chunk31,FA3,10331446-10332114,0.668,cds,2,A,2,None
13:14:28 27Jan2020,TSMD13,7220,chunk31,FA3,10333771-10334051,0.28,cds,1,A,3,None
13:14:10 27Jan2020,TSMD13,7220,chunk30,FA2,10259792-10260960,1.168,cds,3,A,5,None
13:13:54 27Jan2020,TSMD13,7220,chunk24,FA1,6382150-6384698,2.548,ads,4,A,6,None
13:15:21 27Jan2020,TSMD13,7220,chunk41,FA2,16862720-16863544,0.824,ads,2,A,6,None
13:17:33 27Jan2020,TSMD13,7220,chunk33,FA1,15234570-15235390,0.82,cds,3,T,17,None
13:14:38 27Jan2020,TSMD13,7220,chunk33,FA1,15227970-15228840,0.87,ads,2,T,6,None
13:15:31 27Jan2020,TSMD13,7220,chunk45,FA1,22553842-22554290,0.448,cds,4,A,2,None
13:15:38 27Jan2020,TSMD13,7220,chunk45,FA1,22509634-22510507,0.873,cds,4,A,5,None
13:15:53 27Jan2020,TSMD13,7220,chunk51,FA1,30594186-30594776,0.59,ads,1,A,5,None
13:15:57 27Jan2020,TSMD13,7220,chunk51,FA1,30610467-30610937,0.47,cds,2,A,3,None
13:16:23 27Jan2020,TSMD13,7220,chunk51,FA4,30644641-30645436,0.795,cds,2,A,3,None
13:16:18 27Jan2020,TSMD13,7220,chunk51,FA4,30641566-30642573,1.007,cds,2,A,3,None
13:16:14 27Jan2020,TSMD13,7220,chunk51,FA4,30631976-30632598,0.622,cds,2,A,4,None
13:16:28 27Jan2020,TSMD13,7220,chunk51,FA4,30646015-30648287,2.272,cds,2,A,4,None
