Date coded,Coder,Recording,Chunk,Block,Part,Length (ms),include_exclude,confidence_level,sounded_happy,sounded_soothing,sounded_loving,sounded_exited,Original Label,Duration,Comments
12:27:41 17Jan2020,TSMA10,0643,chunk48,FA1,28458098-28459792,1.694,unlabeled,2,1,0,0,2,A,9,None
12:27:57 17Jan2020,TSMA10,0643,chunk49,FA1,28543056-28544596,1.54,unlabeled,3,0,0,0,1,C,12,None
12:26:04 17Jan2020,TSMA10,0643,chunk44,FA2,26892220-26892602,0.382,unlabeled,4,4,0,0,4,T,11,None
12:25:51 17Jan2020,TSMA10,0643,chunk44,FA2,26875950-26876216,0.266,unlabeled,1,0,0,0,0,T,10,None
12:25:37 17Jan2020,TSMA10,0643,chunk44,FA1,26914270-26914732,0.462,unlabeled,2,0,0,0,1,C,10,None
12:26:20 17Jan2020,TSMA10,0643,chunk45,FA1,28254346-28254820,0.474,unlabeled,3,0,0,0,2,C,13,None
12:26:34 17Jan2020,TSMA10,0643,chunk46,FA1,28333736-28334228,0.492,unlabeled,3,0,0,0,1,A,11,None
12:27:29 17Jan2020,TSMA10,0643,chunk47,FA1,28439326-28440578,1.252,unlabeled,0,0,0,0,0,A,12,None
12:27:05 17Jan2020,TSMA10,0643,chunk47,FA1,28399200-28400742,1.542,unlabeled,3,0,0,0,1,C,10,None
12:27:16 17Jan2020,TSMA10,0643,chunk47,FA1,28428962-28431014,2.052,unlabeled,2,0,0,0,1,A,9,None
12:26:53 17Jan2020,TSMA10,0643,chunk47,FA1,28396592-28398016,1.424,unlabeled,3,0,3,1,0,C,16,None
12:22:57 17Jan2020,TSMA10,0643,chunk40,FA2,26567156-26567672,0.516,unlabeled,1,1,3,1,1,C,10,None
12:23:28 17Jan2020,TSMA10,0643,chunk40,FA2,26592052-26592956,0.904,unlabeled,4,0,0,2,2,C,8,None
12:23:58 17Jan2020,TSMA10,0643,chunk40,FA2,26605792-26606719,0.927,unlabeled,0,0,0,0,2,C,9,None
12:23:38 17Jan2020,TSMA10,0643,chunk40,FA2,26594990-26596112,1.122,unlabeled,4,0,0,0,2,C,8,None
12:23:19 17Jan2020,TSMA10,0643,chunk40,FA2,26574169-26574780,0.611,unlabeled,1,1,3,2,0,C,19,None
12:23:47 17Jan2020,TSMA10,0643,chunk40,FA2,26597940-26598376,0.436,unlabeled,0,0,0,0,0,C,8,None
